	Vector time	gfs.168.108.total_low_cloud.comb
1	15.08.2022 00:00:00	6,627303
2	15.08.2022 01:00:00	-2,945314
3	15.08.2022 02:00:00	-2,411762
4	15.08.2022 03:00:00	0
5	15.08.2022 04:00:00	0,078285
6	15.08.2022 05:00:00	0,082088
7	15.08.2022 06:00:00	-0,550605
8	15.08.2022 07:00:00	39,855678
9	15.08.2022 08:00:00	83,915575
10	15.08.2022 09:00:00	96,744092
11	15.08.2022 10:00:00	65,678173
12	15.08.2022 11:00:00	70,076828
13	15.08.2022 12:00:00	22,760991
14	15.08.2022 13:00:00	46,157011
15	15.08.2022 14:00:00	47,031689
16	15.08.2022 15:00:00	17,552725
17	15.08.2022 16:00:00	36,531002
18	15.08.2022 17:00:00	4,568176
19	15.08.2022 18:00:00	-2,720769
20	15.08.2022 19:00:00	-2,685796
21	15.08.2022 20:00:00	0,22974
22	15.08.2022 21:00:00	23,963773
23	15.08.2022 22:00:00	21,204378
24	15.08.2022 23:00:00	-0,022591
25	16.08.2022 00:00:00	0
26	16.08.2022 02:00:00	0,43537
27	16.08.2022 03:00:00	1,553529
28	16.08.2022 04:00:00	31,431401
29	16.08.2022 05:00:00	25,175755
30	16.08.2022 06:00:00	-2,299728
31	16.08.2022 07:00:00	40,000185
32	16.08.2022 08:00:00	89,286424
33	16.08.2022 09:00:00	83,740859
34	16.08.2022 10:00:00	93,204905
35	16.08.2022 11:00:00	86,414773
36	16.08.2022 12:00:00	19,659979
37	16.08.2022 13:00:00	33,772806
38	16.08.2022 14:00:00	72,809359
39	16.08.2022 15:00:00	69,146752
40	16.08.2022 16:00:00	77,125781
41	16.08.2022 17:00:00	76,066026
42	16.08.2022 18:00:00	63,101846
43	16.08.2022 19:00:00	13,083224
44	16.08.2022 20:00:00	1,685776
45	16.08.2022 21:00:00	-0,523413
46	16.08.2022 22:00:00	18,742738
47	16.08.2022 23:00:00	0,032113
48	17.08.2022 00:00:00	0,431323
49	17.08.2022 01:00:00	-0,057905
50	17.08.2022 02:00:00	-1,456099
51	17.08.2022 03:00:00	-1,574513
52	17.08.2022 04:00:00	7,835629
53	17.08.2022 05:00:00	29,154859
54	17.08.2022 06:00:00	59,722758
55	17.08.2022 07:00:00	79,332597
56	17.08.2022 08:00:00	69,174671
57	17.08.2022 09:00:00	59,505653
58	17.08.2022 10:00:00	41,193462
59	17.08.2022 11:00:00	24,56365
60	17.08.2022 12:00:00	6,106499
61	17.08.2022 13:00:00	19,08051
62	17.08.2022 14:00:00	49,615429
63	17.08.2022 15:00:00	78,222051
64	17.08.2022 16:00:00	3,405952
65	17.08.2022 17:00:00	10,168673
66	17.08.2022 18:00:00	14,434081
67	17.08.2022 19:00:00	0,720115
68	17.08.2022 20:00:00	3,103549
69	17.08.2022 21:00:00	4,167886
70	17.08.2022 22:00:00	4,724177
71	17.08.2022 23:00:00	4,015022
72	18.08.2022 00:00:00	3,692742
73	18.08.2022 01:00:00	3,188126
74	18.08.2022 02:00:00	3,397882
75	18.08.2022 03:00:00	1,590658
76	18.08.2022 04:00:00	-0,060225
77	18.08.2022 05:00:00	1,98042
78	18.08.2022 06:00:00	0,791646
79	18.08.2022 07:00:00	0
80	18.08.2022 09:00:00	-0,007319
81	18.08.2022 10:00:00	-0,008496
82	18.08.2022 11:00:00	-0,005414
83	18.08.2022 12:00:00	8,626971
84	18.08.2022 13:00:00	28,518988
85	18.08.2022 14:00:00	37,282886
86	18.08.2022 15:00:00	58,892801
87	18.08.2022 16:00:00	75,351915
88	18.08.2022 17:00:00	59,837362
89	18.08.2022 18:00:00	27,78728
90	18.08.2022 19:00:00	12,164148
91	18.08.2022 20:00:00	11,284386
92	18.08.2022 21:00:00	-3,145007
93	18.08.2022 22:00:00	0,087764
94	18.08.2022 23:00:00	0,113154
95	19.08.2022 00:00:00	0
96	20.08.2022 21:00:00	0,648765
97	20.08.2022 22:00:00	31,585121
98	20.08.2022 23:00:00	1,739683
99	21.08.2022 00:00:00	-0,053564
100	21.08.2022 01:00:00	-0,170531
101	21.08.2022 02:00:00	-0,073178
102	21.08.2022 03:00:00	0
103	21.08.2022 08:00:00	7,125965
104	21.08.2022 09:00:00	21,296417
105	21.08.2022 10:00:00	21,953843
106	21.08.2022 11:00:00	17,074372
107	21.08.2022 12:00:00	55,814537
108	21.08.2022 13:00:00	96,386924
109	21.08.2022 14:00:00	102,132611
110	21.08.2022 15:00:00	102,580241
111	21.08.2022 16:00:00	105,254236
112	21.08.2022 17:00:00	105,065334
113	21.08.2022 18:00:00	103,132245
114	21.08.2022 19:00:00	100,260063
115	21.08.2022 20:00:00	100,762489
116	21.08.2022 21:00:00	99,442297
117	21.08.2022 22:00:00	90,006085
118	21.08.2022 23:00:00	71,041135
119	22.08.2022 00:00:00	49,215395
120	22.08.2022 01:00:00	48,014938
121	22.08.2022 02:00:00	99,503282
122	22.08.2022 03:00:00	98,487
123	22.08.2022 04:00:00	102,843391
124	22.08.2022 05:00:00	99,427627
125	22.08.2022 06:00:00	88,205534
126	22.08.2022 07:00:00	93,031593
127	22.08.2022 08:00:00	90,284712
128	22.08.2022 09:00:00	92,922028
129	22.08.2022 10:00:00	92,537918
130	22.08.2022 11:00:00	78,611214
131	22.08.2022 12:00:00	33,305861
132	22.08.2022 13:00:00	13,232242
133	22.08.2022 14:00:00	78,438234
134	22.08.2022 15:00:00	101,088399
135	22.08.2022 16:00:00	72,574579
136	22.08.2022 17:00:00	96,45124
137	22.08.2022 18:00:00	80,248509
138	22.08.2022 19:00:00	18,77143
139	22.08.2022 20:00:00	1,718576
140	22.08.2022 21:00:00	3,430908
141	22.08.2022 22:00:00	-0,721158
142	22.08.2022 23:00:00	15,271916
143	23.08.2022 00:00:00	70,344453
144	23.08.2022 01:00:00	16,957276
145	23.08.2022 02:00:00	38,309395
146	23.08.2022 03:00:00	-0,004959
147	23.08.2022 04:00:00	0,268967
148	23.08.2022 05:00:00	-0,104946
149	23.08.2022 06:00:00	1,124504
150	23.08.2022 07:00:00	-0,067767
151	23.08.2022 08:00:00	0
152	23.08.2022 13:00:00	1,684493
153	23.08.2022 14:00:00	13,992284
154	23.08.2022 15:00:00	16,979872
155	23.08.2022 16:00:00	31,612878
156	23.08.2022 17:00:00	12,111204
157	23.08.2022 18:00:00	30,503981
158	23.08.2022 19:00:00	50,4018
159	23.08.2022 20:00:00	56,040449
160	23.08.2022 21:00:00	54,948107
161	23.08.2022 22:00:00	24,338421
162	23.08.2022 23:00:00	-0,17613
163	24.08.2022 00:00:00	0,015993
164	24.08.2022 01:00:00	1,10171
165	24.08.2022 02:00:00	3,063369
166	24.08.2022 03:00:00	0
167	24.08.2022 06:00:00	1,11177
168	24.08.2022 07:00:00	2,620883
169	24.08.2022 08:00:00	13,475147
170	24.08.2022 09:00:00	4,404733
171	24.08.2022 10:00:00	4,154166
172	24.08.2022 11:00:00	4,374489
173	24.08.2022 12:00:00	4,1932
174	24.08.2022 13:00:00	1,748024
175	24.08.2022 14:00:00	3,774999
176	24.08.2022 15:00:00	2,543116
177	24.08.2022 16:00:00	1,369405
178	24.08.2022 17:00:00	2,733496
179	24.08.2022 18:00:00	3,397977
180	24.08.2022 19:00:00	1,00863
181	24.08.2022 20:00:00	0
182	27.08.2022 14:00:00	-0,002004
183	27.08.2022 15:00:00	0
184	27.08.2022 17:00:00	-0,00706
185	27.08.2022 18:00:00	0,313076
186	27.08.2022 19:00:00	1,809043
187	27.08.2022 20:00:00	0,037543
188	27.08.2022 21:00:00	0
189	28.08.2022 10:00:00	0,001591
190	28.08.2022 11:00:00	0,175854
191	28.08.2022 12:00:00	5,137113
192	28.08.2022 13:00:00	3,858256
193	28.08.2022 14:00:00	2,445849
194	28.08.2022 15:00:00	2,890425
195	28.08.2022 16:00:00	70,84644
196	28.08.2022 17:00:00	94,54501
197	28.08.2022 18:00:00	65,389885
198	28.08.2022 19:00:00	37,483592
199	28.08.2022 20:00:00	37,996358
200	28.08.2022 21:00:00	60,336637
201	28.08.2022 22:00:00	41,940758
202	28.08.2022 23:00:00	1,20657
203	29.08.2022 00:00:00	5,327069
204	29.08.2022 01:00:00	17,198266
205	29.08.2022 02:00:00	0,658955
206	29.08.2022 03:00:00	-0,181175
207	29.08.2022 04:00:00	1,791087
208	29.08.2022 05:00:00	3,918584
209	29.08.2022 06:00:00	4,645293
210	29.08.2022 07:00:00	4,57831
211	29.08.2022 08:00:00	4,710407
212	29.08.2022 09:00:00	2,877585
213	29.08.2022 10:00:00	7,848543
214	29.08.2022 11:00:00	86,83327
215	29.08.2022 12:00:00	92,091436
216	29.08.2022 13:00:00	67,073174
217	29.08.2022 14:00:00	34,305746
218	29.08.2022 15:00:00	92,608027
219	29.08.2022 16:00:00	47,790942
220	29.08.2022 17:00:00	18,050321
221	29.08.2022 18:00:00	-0,360049
222	29.08.2022 19:00:00	0
223	29.08.2022 20:00:00	-0,037803
224	29.08.2022 21:00:00	0,190768
225	29.08.2022 22:00:00	0,823446
226	29.08.2022 23:00:00	0,378377
227	30.08.2022 00:00:00	-0,057626
228	30.08.2022 01:00:00	-0,060866
229	30.08.2022 02:00:00	-0,05925
230	30.08.2022 03:00:00	0,400357
231	30.08.2022 04:00:00	2,312422
232	30.08.2022 05:00:00	1,017272
233	30.08.2022 06:00:00	2,17959
234	30.08.2022 07:00:00	4,753585
235	30.08.2022 08:00:00	4,841568
236	30.08.2022 09:00:00	4,450307
237	30.08.2022 10:00:00	3,249795
238	30.08.2022 11:00:00	3,811656
239	30.08.2022 12:00:00	3,84354
240	30.08.2022 13:00:00	3,435459
241	30.08.2022 14:00:00	2,928988
242	30.08.2022 15:00:00	0,82062
243	30.08.2022 16:00:00	1,736319
244	30.08.2022 17:00:00	5,779519
245	30.08.2022 18:00:00	4,992737
246	30.08.2022 19:00:00	5,17337
247	30.08.2022 20:00:00	6,402284
248	30.08.2022 21:00:00	3,146701
249	30.08.2022 22:00:00	1,036249
250	30.08.2022 23:00:00	1,415952
251	31.08.2022 00:00:00	0,446519
252	31.08.2022 01:00:00	0,488906
253	31.08.2022 02:00:00	0,454785
254	31.08.2022 03:00:00	-0,985631
255	31.08.2022 04:00:00	3,326194
256	31.08.2022 05:00:00	2,066119
257	31.08.2022 06:00:00	-0,175442
258	31.08.2022 07:00:00	4,179971
259	31.08.2022 08:00:00	16,360641
260	31.08.2022 09:00:00	27,461124
261	31.08.2022 10:00:00	46,969041
262	31.08.2022 11:00:00	76,780937
263	31.08.2022 12:00:00	85,376305
264	31.08.2022 13:00:00	100,127429
265	31.08.2022 14:00:00	99,756536
266	31.08.2022 15:00:00	95,036173
267	31.08.2022 16:00:00	100,358752
268	31.08.2022 17:00:00	97,20319
269	31.08.2022 18:00:00	93,336656
270	31.08.2022 19:00:00	94,599832
271	31.08.2022 20:00:00	98,472175
272	31.08.2022 21:00:00	104,454976
273	31.08.2022 22:00:00	106,263881
274	31.08.2022 23:00:00	101,323282
275	01.09.2022 00:00:00	98,208333
276	01.09.2022 01:00:00	98,063271
277	01.09.2022 02:00:00	100
278	01.09.2022 03:00:00	99,917113
279	01.09.2022 04:00:00	96,614369
280	01.09.2022 05:00:00	99,774252
281	01.09.2022 06:00:00	100
282	01.09.2022 09:00:00	100,000379
283	01.09.2022 10:00:00	100,021602
284	01.09.2022 11:00:00	99,976554
285	01.09.2022 12:00:00	100,02731
286	01.09.2022 13:00:00	99,73177
287	01.09.2022 14:00:00	99,096489
288	01.09.2022 15:00:00	89,540087
289	01.09.2022 16:00:00	79,68271
290	01.09.2022 17:00:00	76,61116
291	01.09.2022 18:00:00	97,708913
292	01.09.2022 19:00:00	96,167273
293	01.09.2022 20:00:00	85,113767
294	01.09.2022 21:00:00	76,427635
295	01.09.2022 22:00:00	63,025263
296	01.09.2022 23:00:00	71,007878
297	02.09.2022 00:00:00	82,105242
298	02.09.2022 01:00:00	89,268077
299	02.09.2022 02:00:00	90,359425
300	02.09.2022 03:00:00	81,193899
301	02.09.2022 04:00:00	81,03406
302	02.09.2022 05:00:00	93,472935
303	02.09.2022 06:00:00	99,322452
304	02.09.2022 07:00:00	100
305	02.09.2022 08:00:00	100,029819
306	02.09.2022 09:00:00	95,135456
307	02.09.2022 10:00:00	92,407233
308	02.09.2022 11:00:00	90,707928
309	02.09.2022 12:00:00	99,672214
310	02.09.2022 13:00:00	100,184801
311	02.09.2022 14:00:00	100,035932
312	02.09.2022 15:00:00	99,689005
313	02.09.2022 16:00:00	91,223932
314	02.09.2022 17:00:00	99,027863
315	02.09.2022 18:00:00	97,896853
316	02.09.2022 19:00:00	97,392578
317	02.09.2022 20:00:00	97,206892
318	02.09.2022 21:00:00	98,987811
319	02.09.2022 22:00:00	95,940758
320	02.09.2022 23:00:00	99,99958
321	03.09.2022 00:00:00	99,99979
322	03.09.2022 01:00:00	100
323	03.09.2022 10:00:00	99,142728
324	03.09.2022 11:00:00	100
325	03.09.2022 12:00:00	99,840924
326	03.09.2022 13:00:00	100
327	03.09.2022 20:00:00	99,999027
328	03.09.2022 21:00:00	99,999468
329	03.09.2022 22:00:00	98,322432
330	03.09.2022 23:00:00	95,769434
331	04.09.2022 00:00:00	91,629927
332	04.09.2022 01:00:00	95,063024
333	04.09.2022 02:00:00	97,119826
334	04.09.2022 03:00:00	100,072178
335	04.09.2022 04:00:00	99,72998
336	04.09.2022 05:00:00	97,537581
337	04.09.2022 06:00:00	99,754061
338	04.09.2022 07:00:00	99,941848
339	04.09.2022 08:00:00	100,005991
340	04.09.2022 09:00:00	100,015945
341	04.09.2022 10:00:00	97,26409
342	04.09.2022 11:00:00	94,476535
343	04.09.2022 12:00:00	56,474448
344	04.09.2022 13:00:00	22,701749
345	04.09.2022 14:00:00	14,154499
346	04.09.2022 15:00:00	17,21078
347	04.09.2022 16:00:00	30,401993
348	04.09.2022 17:00:00	29,232792
349	04.09.2022 18:00:00	3,692387
350	04.09.2022 19:00:00	0,160623
351	04.09.2022 20:00:00	0,032299
352	04.09.2022 21:00:00	-0,058086
353	04.09.2022 22:00:00	0,177361
354	04.09.2022 23:00:00	-0,377651
355	05.09.2022 00:00:00	3,482366
356	05.09.2022 01:00:00	1,933319
357	05.09.2022 02:00:00	1,126872
358	05.09.2022 03:00:00	39,541068
359	05.09.2022 04:00:00	78,587555
360	05.09.2022 05:00:00	85,91816
361	05.09.2022 06:00:00	98,293164
362	05.09.2022 07:00:00	100,078719
363	05.09.2022 08:00:00	99,407626
364	05.09.2022 09:00:00	96,931637
365	05.09.2022 10:00:00	90,848161
366	05.09.2022 11:00:00	59,041106
367	05.09.2022 12:00:00	6,370647
368	05.09.2022 13:00:00	4,907903
369	05.09.2022 14:00:00	7,757011
370	05.09.2022 15:00:00	20,401928
371	05.09.2022 16:00:00	14,343937
372	05.09.2022 17:00:00	2,633743
373	05.09.2022 18:00:00	-0,324868
374	05.09.2022 19:00:00	-0,489853
375	05.09.2022 20:00:00	-0,35582
376	05.09.2022 21:00:00	1,936046
377	05.09.2022 22:00:00	1,858023
378	05.09.2022 23:00:00	0,218549
379	06.09.2022 00:00:00	0
380	06.09.2022 02:00:00	-0,016375
381	06.09.2022 03:00:00	0,06682
382	06.09.2022 04:00:00	-0,301842
383	06.09.2022 05:00:00	0,363426
384	06.09.2022 06:00:00	0,240284
385	06.09.2022 07:00:00	0
386	06.09.2022 11:00:00	-0,010705
387	06.09.2022 12:00:00	-0,446567
388	06.09.2022 13:00:00	-0,436901
389	06.09.2022 14:00:00	-0,465712
390	06.09.2022 15:00:00	2,099935
391	06.09.2022 16:00:00	2,084613
392	06.09.2022 17:00:00	-0,294421
393	06.09.2022 18:00:00	0
394	06.09.2022 20:00:00	0,043524
395	06.09.2022 21:00:00	0,994757
396	06.09.2022 22:00:00	0,506286
397	06.09.2022 23:00:00	2,71546
398	07.09.2022 00:00:00	1,105631
399	07.09.2022 01:00:00	2,138027
400	07.09.2022 02:00:00	0,705357
401	07.09.2022 03:00:00	0
402	07.09.2022 04:00:00	-0,014276
403	07.09.2022 05:00:00	0,405908
404	07.09.2022 06:00:00	21,610628
405	07.09.2022 07:00:00	96,219758
406	07.09.2022 08:00:00	104,20914
407	07.09.2022 09:00:00	62,806976
408	07.09.2022 10:00:00	47,652494
409	07.09.2022 11:00:00	21,187559
410	07.09.2022 12:00:00	10,572189
411	07.09.2022 13:00:00	16,877697
412	07.09.2022 14:00:00	22,708109
413	07.09.2022 15:00:00	2,37989
414	07.09.2022 16:00:00	9,99312
415	07.09.2022 17:00:00	24,693615
416	07.09.2022 18:00:00	0,743911
417	07.09.2022 19:00:00	0,527365
418	07.09.2022 20:00:00	8,463807
419	07.09.2022 21:00:00	2,868287
420	07.09.2022 22:00:00	-0,040276
421	07.09.2022 23:00:00	-0,05506
422	08.09.2022 00:00:00	13,541539
423	08.09.2022 01:00:00	19,999031
424	08.09.2022 02:00:00	40,967958
425	08.09.2022 03:00:00	48,9585
426	08.09.2022 04:00:00	97,658566
427	08.09.2022 05:00:00	101,117097
428	08.09.2022 06:00:00	89,09093
429	08.09.2022 07:00:00	82,526195
430	08.09.2022 08:00:00	20,30221
431	08.09.2022 09:00:00	16,236727
432	08.09.2022 10:00:00	0,676191
433	08.09.2022 11:00:00	-0,054386
434	08.09.2022 12:00:00	-0,149902
435	08.09.2022 13:00:00	-0,177461
436	08.09.2022 14:00:00	16,491449
437	08.09.2022 15:00:00	29,23872
438	08.09.2022 16:00:00	44,40752
439	08.09.2022 17:00:00	69,468145
440	08.09.2022 18:00:00	45,018132
441	08.09.2022 19:00:00	4,075549
442	08.09.2022 20:00:00	17,823286
443	08.09.2022 21:00:00	17,048657
444	08.09.2022 22:00:00	-0,013461
445	08.09.2022 23:00:00	0,796077
446	09.09.2022 00:00:00	34,469709
447	09.09.2022 01:00:00	38,962242
448	09.09.2022 02:00:00	33,024504
449	09.09.2022 03:00:00	95,024308
450	09.09.2022 04:00:00	99,739955
451	09.09.2022 05:00:00	100,009328
452	09.09.2022 06:00:00	92,49854
453	09.09.2022 07:00:00	65,649611
454	09.09.2022 08:00:00	108,070989
455	09.09.2022 09:00:00	88,352916
456	09.09.2022 10:00:00	66,904345
457	09.09.2022 11:00:00	79,628912
458	09.09.2022 12:00:00	96,227716
459	09.09.2022 13:00:00	88,456326
460	09.09.2022 14:00:00	99,228169
461	09.09.2022 15:00:00	100,00735
462	09.09.2022 16:00:00	82,423147
463	09.09.2022 17:00:00	103,102096
464	09.09.2022 18:00:00	101,567882
465	09.09.2022 19:00:00	95,678462
466	09.09.2022 20:00:00	76,014238
467	09.09.2022 21:00:00	55,189879
468	09.09.2022 22:00:00	35,571216
469	09.09.2022 23:00:00	36,993792
470	10.09.2022 00:00:00	73,83926
471	10.09.2022 01:00:00	100,929187
472	10.09.2022 02:00:00	101,030018
473	10.09.2022 03:00:00	67,810394
474	10.09.2022 04:00:00	75,838412
475	10.09.2022 05:00:00	84,172443
476	10.09.2022 06:00:00	86,509457
477	10.09.2022 07:00:00	100,656888
478	10.09.2022 08:00:00	99,103103
479	10.09.2022 09:00:00	100
480	10.09.2022 10:00:00	99,017259
481	10.09.2022 11:00:00	98,192174
482	10.09.2022 12:00:00	98,361225
483	10.09.2022 13:00:00	56,089145
484	10.09.2022 14:00:00	37,539629
485	10.09.2022 15:00:00	98,188919
486	10.09.2022 16:00:00	48,348783
487	10.09.2022 17:00:00	2,346171
488	10.09.2022 18:00:00	38,840305
489	10.09.2022 19:00:00	73,94756
490	10.09.2022 20:00:00	99,394524
491	10.09.2022 21:00:00	97,749822
492	10.09.2022 22:00:00	19,584237
493	10.09.2022 23:00:00	-0,316704
494	11.09.2022 00:00:00	-3,957364
495	11.09.2022 01:00:00	-5,636385
496	11.09.2022 02:00:00	-1,579577
497	11.09.2022 03:00:00	-0,114242
498	11.09.2022 04:00:00	-0,505462
499	11.09.2022 05:00:00	2,492186
500	11.09.2022 06:00:00	5,038328
501	11.09.2022 07:00:00	5,162154
502	11.09.2022 08:00:00	7,199914
503	11.09.2022 09:00:00	5,001195
504	11.09.2022 10:00:00	5,60379
505	11.09.2022 11:00:00	18,025754
506	11.09.2022 12:00:00	12,806635
507	11.09.2022 13:00:00	87,80319
508	11.09.2022 14:00:00	70,307744
509	11.09.2022 15:00:00	46,845119
510	11.09.2022 16:00:00	80,427743
511	11.09.2022 17:00:00	89,784692
512	11.09.2022 18:00:00	2,032066
513	11.09.2022 19:00:00	49,947063
514	11.09.2022 20:00:00	78,116771
515	11.09.2022 21:00:00	103,638455
516	11.09.2022 22:00:00	96,717637
517	11.09.2022 23:00:00	100,026265
518	12.09.2022 00:00:00	100,060676
519	12.09.2022 01:00:00	80,68664
520	12.09.2022 02:00:00	60,296185
521	12.09.2022 03:00:00	97,823265
522	12.09.2022 04:00:00	100
523	12.09.2022 07:00:00	99,944832
524	12.09.2022 08:00:00	100
525	12.09.2022 14:00:00	100,129827
526	12.09.2022 15:00:00	99,992187
527	12.09.2022 16:00:00	98,687305
528	12.09.2022 17:00:00	96,211051
529	12.09.2022 18:00:00	92,610339
530	12.09.2022 19:00:00	87,1099
531	12.09.2022 20:00:00	100
532	12.09.2022 23:00:00	99,99958
533	13.09.2022 00:00:00	100,032281
534	13.09.2022 01:00:00	100
535	13.09.2022 05:00:00	99,983021
536	13.09.2022 06:00:00	99,700377
537	13.09.2022 07:00:00	99,384405
538	13.09.2022 08:00:00	99,946503
539	13.09.2022 09:00:00	78,9318
540	13.09.2022 10:00:00	95,760515
541	13.09.2022 11:00:00	100
542	13.09.2022 12:00:00	86,993256
543	13.09.2022 13:00:00	72,289105
544	13.09.2022 14:00:00	93,153626
545	13.09.2022 15:00:00	100,052837
546	13.09.2022 16:00:00	64,217751
547	13.09.2022 17:00:00	50,432161
548	13.09.2022 18:00:00	8,037966
549	13.09.2022 19:00:00	0,245811
550	13.09.2022 20:00:00	6,127722
551	13.09.2022 21:00:00	4,062358
552	13.09.2022 22:00:00	3,913633
553	13.09.2022 23:00:00	46,750563
554	14.09.2022 00:00:00	37,236203
555	14.09.2022 01:00:00	75,518375
556	14.09.2022 02:00:00	88,861029
557	14.09.2022 03:00:00	54,351588
558	14.09.2022 04:00:00	102,091089
559	14.09.2022 05:00:00	89,986793
560	14.09.2022 06:00:00	67,500754
561	14.09.2022 07:00:00	90,242446
562	14.09.2022 08:00:00	90,107968
563	14.09.2022 09:00:00	64,422683
564	14.09.2022 10:00:00	101,630853
565	14.09.2022 11:00:00	79,324154
566	14.09.2022 12:00:00	106,302706
567	14.09.2022 13:00:00	75,063481
568	14.09.2022 14:00:00	76,513921
569	14.09.2022 15:00:00	55,242505
570	14.09.2022 16:00:00	45,048969
571	14.09.2022 17:00:00	104,119792
572	14.09.2022 18:00:00	69,309529
573	14.09.2022 19:00:00	101,739518
574	14.09.2022 20:00:00	100
575	14.09.2022 22:00:00	100,007807
576	14.09.2022 23:00:00	100
577	15.09.2022 00:00:00	100,126975
578	15.09.2022 01:00:00	96,698217
579	15.09.2022 02:00:00	93,539335
580	15.09.2022 03:00:00	99,985719
581	15.09.2022 04:00:00	90,094119
582	15.09.2022 05:00:00	78,592803
583	15.09.2022 06:00:00	101,883054
584	15.09.2022 07:00:00	104,156732
585	15.09.2022 08:00:00	99,834135
586	15.09.2022 09:00:00	99,155179
587	15.09.2022 10:00:00	29,486722
588	15.09.2022 11:00:00	28,956938
589	15.09.2022 12:00:00	39,394204
590	15.09.2022 13:00:00	48,137691
591	15.09.2022 14:00:00	46,976715
592	15.09.2022 15:00:00	14,695013
593	15.09.2022 16:00:00	4,164619
594	15.09.2022 17:00:00	35,255374
595	15.09.2022 18:00:00	31,09432
596	15.09.2022 19:00:00	79,35027
597	15.09.2022 20:00:00	85,050432
598	15.09.2022 21:00:00	48,465839
599	15.09.2022 22:00:00	59,183766
600	15.09.2022 23:00:00	43,945051
601	16.09.2022 00:00:00	
