	Vector time	gfs.168.109.total_middle_cloud.comb
1	15.08.2022 00:00:00	75,741582
2	15.08.2022 01:00:00	76,471605
3	15.08.2022 02:00:00	81,0751
4	15.08.2022 03:00:00	6,534417
5	15.08.2022 04:00:00	22,949223
6	15.08.2022 05:00:00	82,578046
7	15.08.2022 06:00:00	53,281224
8	15.08.2022 07:00:00	94,103316
9	15.08.2022 08:00:00	57,687307
10	15.08.2022 09:00:00	77,500381
11	15.08.2022 10:00:00	96,061104
12	15.08.2022 11:00:00	70,350467
13	15.08.2022 12:00:00	74,286294
14	15.08.2022 13:00:00	101,984511
15	15.08.2022 14:00:00	78,104507
16	15.08.2022 15:00:00	26,891227
17	15.08.2022 16:00:00	16,018348
18	15.08.2022 17:00:00	26,326812
19	15.08.2022 18:00:00	95,467219
20	15.08.2022 19:00:00	100,057981
21	15.08.2022 20:00:00	51,274968
22	15.08.2022 21:00:00	97,611135
23	15.08.2022 22:00:00	100,125268
24	15.08.2022 23:00:00	100,003779
25	16.08.2022 00:00:00	82,042278
26	16.08.2022 01:00:00	98,548783
27	16.08.2022 02:00:00	98,501136
28	16.08.2022 03:00:00	100,08129
29	16.08.2022 04:00:00	98,359192
30	16.08.2022 05:00:00	48,140372
31	16.08.2022 06:00:00	-1,792507
32	16.08.2022 07:00:00	88,508046
33	16.08.2022 08:00:00	99,379329
34	16.08.2022 09:00:00	100
35	16.08.2022 10:00:00	99,850713
36	16.08.2022 11:00:00	97,062064
37	16.08.2022 12:00:00	99,994799
38	16.08.2022 13:00:00	99,152216
39	16.08.2022 14:00:00	99,145127
40	16.08.2022 15:00:00	99,293855
41	16.08.2022 16:00:00	95,360339
42	16.08.2022 17:00:00	89,78031
43	16.08.2022 18:00:00	97,722639
44	16.08.2022 19:00:00	57,108135
45	16.08.2022 20:00:00	41,197788
46	16.08.2022 21:00:00	4,65465
47	16.08.2022 22:00:00	-1,955318
48	16.08.2022 23:00:00	42,610178
49	17.08.2022 00:00:00	103,674542
50	17.08.2022 01:00:00	72,195824
51	17.08.2022 02:00:00	81,997447
52	17.08.2022 03:00:00	5,015596
53	17.08.2022 04:00:00	5,004587
54	17.08.2022 05:00:00	4,8225
55	17.08.2022 06:00:00	4,898966
56	17.08.2022 07:00:00	3,566478
57	17.08.2022 08:00:00	-1,142739
58	17.08.2022 09:00:00	7,447999
59	17.08.2022 10:00:00	48,16963
60	17.08.2022 11:00:00	79,761383
61	17.08.2022 12:00:00	92,0088
62	17.08.2022 13:00:00	85,038912
63	17.08.2022 14:00:00	61,945895
64	17.08.2022 15:00:00	89,841112
65	17.08.2022 16:00:00	73,740947
66	17.08.2022 17:00:00	3,82241
67	17.08.2022 18:00:00	1,838302
68	17.08.2022 19:00:00	4,988613
69	17.08.2022 20:00:00	5
70	17.08.2022 23:00:00	5,294773
71	18.08.2022 00:00:00	2,967367
72	18.08.2022 01:00:00	2,602124
73	18.08.2022 02:00:00	2,236133
74	18.08.2022 03:00:00	5,00897
75	18.08.2022 04:00:00	5,14977
76	18.08.2022 05:00:00	3,868957
77	18.08.2022 06:00:00	1,768045
78	18.08.2022 07:00:00	0
79	19.08.2022 09:00:00	-0,021794
80	19.08.2022 10:00:00	3,053266
81	19.08.2022 11:00:00	1,5905
82	19.08.2022 12:00:00	-0,103583
83	19.08.2022 13:00:00	-0,284034
84	19.08.2022 14:00:00	-0,034597
85	19.08.2022 15:00:00	-0,281676
86	19.08.2022 16:00:00	-0,377128
87	19.08.2022 17:00:00	2,205799
88	19.08.2022 18:00:00	-0,001617
89	19.08.2022 19:00:00	0
90	20.08.2022 19:00:00	-0,002037
91	20.08.2022 20:00:00	-0,324787
92	20.08.2022 21:00:00	0
93	21.08.2022 06:00:00	0,061375
94	21.08.2022 07:00:00	1,256888
95	21.08.2022 08:00:00	-0,002732
96	21.08.2022 09:00:00	-0,00234
97	21.08.2022 10:00:00	0
98	21.08.2022 14:00:00	-0,001462
99	21.08.2022 15:00:00	-0,003315
100	21.08.2022 16:00:00	-0,018225
101	21.08.2022 17:00:00	-0,083106
102	21.08.2022 18:00:00	-0,102627
103	21.08.2022 19:00:00	-0,073417
104	21.08.2022 20:00:00	0,726626
105	21.08.2022 21:00:00	3,188973
106	21.08.2022 22:00:00	12,574724
107	21.08.2022 23:00:00	36,984153
108	22.08.2022 00:00:00	55,421291
109	22.08.2022 01:00:00	55,088335
110	22.08.2022 02:00:00	33,498616
111	22.08.2022 03:00:00	107,602173
112	22.08.2022 04:00:00	111,281023
113	22.08.2022 05:00:00	107,18559
114	22.08.2022 06:00:00	87,81028
115	22.08.2022 07:00:00	71,810753
116	22.08.2022 08:00:00	45,288984
117	22.08.2022 09:00:00	28,709503
118	22.08.2022 10:00:00	41,198808
119	22.08.2022 11:00:00	65,869262
120	22.08.2022 12:00:00	25,482857
121	22.08.2022 13:00:00	-0,015478
122	22.08.2022 14:00:00	-0,036274
123	22.08.2022 15:00:00	80,199923
124	22.08.2022 16:00:00	100,162577
125	22.08.2022 17:00:00	99,771553
126	22.08.2022 18:00:00	87,352923
127	22.08.2022 19:00:00	24,612227
128	22.08.2022 20:00:00	33,098574
129	22.08.2022 21:00:00	46,663695
130	22.08.2022 22:00:00	82,578098
131	22.08.2022 23:00:00	25,480126
132	23.08.2022 00:00:00	28,536352
133	23.08.2022 01:00:00	105,03412
134	23.08.2022 02:00:00	99,421866
135	23.08.2022 03:00:00	6,203876
136	23.08.2022 04:00:00	4,945675
137	23.08.2022 05:00:00	26,301068
138	23.08.2022 06:00:00	41,564094
139	23.08.2022 07:00:00	88,998296
140	23.08.2022 08:00:00	47,298486
141	23.08.2022 09:00:00	32,57301
142	23.08.2022 10:00:00	5,769078
143	23.08.2022 11:00:00	8,454442
144	23.08.2022 12:00:00	22,099608
145	23.08.2022 13:00:00	12,763546
146	23.08.2022 14:00:00	10,725275
147	23.08.2022 15:00:00	10,181211
148	23.08.2022 16:00:00	7,473654
149	23.08.2022 17:00:00	10,448645
150	23.08.2022 18:00:00	14,156681
151	23.08.2022 19:00:00	27,589405
152	23.08.2022 20:00:00	9,277272
153	23.08.2022 21:00:00	12,555452
154	23.08.2022 22:00:00	6,739323
155	23.08.2022 23:00:00	5,281289
156	24.08.2022 00:00:00	5,056416
157	24.08.2022 01:00:00	5,402629
158	24.08.2022 02:00:00	7,724043
159	24.08.2022 03:00:00	0
160	24.08.2022 06:00:00	0,765908
161	24.08.2022 07:00:00	34,87075
162	24.08.2022 08:00:00	51,025875
163	24.08.2022 09:00:00	30,582591
164	24.08.2022 10:00:00	26,433104
165	24.08.2022 11:00:00	14,383121
166	24.08.2022 12:00:00	8,963924
167	24.08.2022 13:00:00	18,279157
168	24.08.2022 14:00:00	24,298949
169	24.08.2022 15:00:00	58,900832
170	24.08.2022 16:00:00	49,384441
171	24.08.2022 17:00:00	22,169554
172	24.08.2022 18:00:00	5,36526
173	24.08.2022 19:00:00	1,158351
174	24.08.2022 20:00:00	0,526525
175	24.08.2022 21:00:00	0,024191
176	24.08.2022 22:00:00	0,074624
177	24.08.2022 23:00:00	-0,003868
178	25.08.2022 00:00:00	-0,001712
179	25.08.2022 01:00:00	0,294169
180	25.08.2022 02:00:00	1,556995
181	25.08.2022 03:00:00	50,730438
182	25.08.2022 04:00:00	55,706014
183	25.08.2022 05:00:00	76,863756
184	25.08.2022 06:00:00	67,138184
185	25.08.2022 07:00:00	7,32198
186	25.08.2022 08:00:00	3,764336
187	25.08.2022 09:00:00	0,37444
188	25.08.2022 10:00:00	-0,045358
189	25.08.2022 11:00:00	0
190	25.08.2022 21:00:00	-0,073305
191	25.08.2022 22:00:00	-1,029698
192	25.08.2022 23:00:00	5,915844
193	26.08.2022 00:00:00	2,059365
194	26.08.2022 01:00:00	0,623796
195	26.08.2022 02:00:00	-0,24928
196	26.08.2022 03:00:00	15,121
197	26.08.2022 04:00:00	11,535994
198	26.08.2022 05:00:00	5,147922
199	26.08.2022 06:00:00	-0,825621
200	26.08.2022 07:00:00	-0,024325
201	26.08.2022 08:00:00	-0,050031
202	26.08.2022 09:00:00	0,001479
203	26.08.2022 10:00:00	0,0336
204	26.08.2022 11:00:00	0,000477
205	26.08.2022 12:00:00	0
206	26.08.2022 17:00:00	0,000054
207	26.08.2022 18:00:00	0
208	26.08.2022 23:00:00	-0,009864
209	27.08.2022 00:00:00	-0,063809
210	27.08.2022 01:00:00	0,426496
211	27.08.2022 02:00:00	0,380593
212	27.08.2022 03:00:00	2,359561
213	27.08.2022 04:00:00	5,794592
214	27.08.2022 05:00:00	3,622322
215	27.08.2022 06:00:00	4,004908
216	27.08.2022 07:00:00	2,905328
217	27.08.2022 08:00:00	-0,008944
218	27.08.2022 09:00:00	0,051673
219	27.08.2022 10:00:00	0,66324
220	27.08.2022 11:00:00	1,403463
221	27.08.2022 12:00:00	5,596711
222	27.08.2022 13:00:00	25,779113
223	27.08.2022 14:00:00	41,998884
224	27.08.2022 15:00:00	0,994563
225	27.08.2022 16:00:00	-0,242739
226	27.08.2022 17:00:00	0,051037
227	27.08.2022 18:00:00	0,509302
228	27.08.2022 19:00:00	-0,149378
229	27.08.2022 20:00:00	-0,784229
230	27.08.2022 21:00:00	0,803756
231	27.08.2022 22:00:00	2,60922
232	27.08.2022 23:00:00	0
233	28.08.2022 02:00:00	-0,045348
234	28.08.2022 03:00:00	66,338821
235	28.08.2022 04:00:00	10,178827
236	28.08.2022 05:00:00	0,220192
237	28.08.2022 06:00:00	12,011772
238	28.08.2022 07:00:00	82,449569
239	28.08.2022 08:00:00	96,360483
240	28.08.2022 09:00:00	86,951465
241	28.08.2022 10:00:00	28,393629
242	28.08.2022 11:00:00	6,349198
243	28.08.2022 12:00:00	19,416951
244	28.08.2022 13:00:00	22,288441
245	28.08.2022 14:00:00	32,35212
246	28.08.2022 15:00:00	26,800269
247	28.08.2022 16:00:00	48,139594
248	28.08.2022 17:00:00	77,519246
249	28.08.2022 18:00:00	64,996022
250	28.08.2022 19:00:00	43,582673
251	28.08.2022 20:00:00	74,657028
252	28.08.2022 21:00:00	82,173088
253	28.08.2022 22:00:00	39,366944
254	28.08.2022 23:00:00	2,611141
255	29.08.2022 00:00:00	2,538782
256	29.08.2022 01:00:00	29,882077
257	29.08.2022 02:00:00	7,589971
258	29.08.2022 03:00:00	1,436429
259	29.08.2022 04:00:00	4,507621
260	29.08.2022 05:00:00	4,525224
261	29.08.2022 06:00:00	4,792697
262	29.08.2022 07:00:00	4,348323
263	29.08.2022 08:00:00	4,525609
264	29.08.2022 09:00:00	18,330114
265	29.08.2022 10:00:00	45,473563
266	29.08.2022 11:00:00	97,797709
267	29.08.2022 12:00:00	79,998574
268	29.08.2022 13:00:00	37,906739
269	29.08.2022 14:00:00	47,165887
270	29.08.2022 15:00:00	62,47772
271	29.08.2022 16:00:00	65,791007
272	29.08.2022 17:00:00	98,172089
273	29.08.2022 18:00:00	98,069825
274	29.08.2022 19:00:00	96,450926
275	29.08.2022 20:00:00	73,815238
276	29.08.2022 21:00:00	64,878015
277	29.08.2022 22:00:00	57,764751
278	29.08.2022 23:00:00	30,761726
279	30.08.2022 00:00:00	4,429663
280	30.08.2022 01:00:00	3,918989
281	30.08.2022 02:00:00	4,876944
282	30.08.2022 03:00:00	5,096913
283	30.08.2022 04:00:00	5,058287
284	30.08.2022 05:00:00	5,016202
285	30.08.2022 06:00:00	5,057174
286	30.08.2022 07:00:00	5,07304
287	30.08.2022 08:00:00	4,978197
288	30.08.2022 09:00:00	17,3939
289	30.08.2022 10:00:00	27,892216
290	30.08.2022 11:00:00	23,399514
291	30.08.2022 12:00:00	50,92625
292	30.08.2022 13:00:00	94,03676
293	30.08.2022 14:00:00	99,070617
294	30.08.2022 15:00:00	102,065388
295	30.08.2022 16:00:00	80,624776
296	30.08.2022 17:00:00	20,39135
297	30.08.2022 18:00:00	5,322963
298	30.08.2022 19:00:00	5,182286
299	30.08.2022 20:00:00	3,825107
300	30.08.2022 21:00:00	2,472389
301	30.08.2022 22:00:00	2,037067
302	30.08.2022 23:00:00	7,010688
303	31.08.2022 00:00:00	2,384004
304	31.08.2022 01:00:00	1,550521
305	31.08.2022 02:00:00	0,674505
306	31.08.2022 03:00:00	3,008685
307	31.08.2022 04:00:00	5,247458
308	31.08.2022 05:00:00	5,182864
309	31.08.2022 06:00:00	3,475778
310	31.08.2022 07:00:00	0,899993
311	31.08.2022 08:00:00	0,088294
312	31.08.2022 09:00:00	0
313	31.08.2022 16:00:00	-0,003102
314	31.08.2022 17:00:00	-0,186656
315	31.08.2022 18:00:00	2,004968
316	31.08.2022 19:00:00	-0,039489
317	31.08.2022 20:00:00	1,255643
318	31.08.2022 21:00:00	-0,346372
319	31.08.2022 22:00:00	-0,016594
320	31.08.2022 23:00:00	0,263988
321	01.09.2022 00:00:00	84,809758
322	01.09.2022 01:00:00	100
323	01.09.2022 02:00:00	87,216858
324	01.09.2022 03:00:00	100
325	01.09.2022 04:00:00	96,775566
326	01.09.2022 05:00:00	99,179792
327	01.09.2022 06:00:00	99,873493
328	01.09.2022 07:00:00	100,211005
329	01.09.2022 08:00:00	89,525992
330	01.09.2022 09:00:00	92,449472
331	01.09.2022 10:00:00	11,214581
332	01.09.2022 11:00:00	11,660205
333	01.09.2022 12:00:00	68,663147
334	01.09.2022 13:00:00	105,909166
335	01.09.2022 14:00:00	106,299866
336	01.09.2022 15:00:00	106,173034
337	01.09.2022 16:00:00	106,859766
338	01.09.2022 17:00:00	75,905759
339	01.09.2022 18:00:00	4,093666
340	01.09.2022 19:00:00	4,890329
341	01.09.2022 20:00:00	4,939142
342	01.09.2022 21:00:00	2,32356
343	01.09.2022 22:00:00	0,444252
344	01.09.2022 23:00:00	0,06543
345	02.09.2022 00:00:00	-2,291777
346	02.09.2022 01:00:00	3,047919
347	02.09.2022 02:00:00	5,15768
348	02.09.2022 03:00:00	81,677599
349	02.09.2022 04:00:00	52,506241
350	02.09.2022 05:00:00	59,005945
351	02.09.2022 06:00:00	59,987332
352	02.09.2022 07:00:00	85,359075
353	02.09.2022 08:00:00	99,761944
354	02.09.2022 09:00:00	100
355	02.09.2022 22:00:00	100,000361
356	02.09.2022 23:00:00	99,500121
357	03.09.2022 00:00:00	99,945224
358	03.09.2022 01:00:00	87,544962
359	03.09.2022 02:00:00	84,515469
360	03.09.2022 03:00:00	88,401586
361	03.09.2022 04:00:00	91,929297
362	03.09.2022 05:00:00	100,315722
363	03.09.2022 06:00:00	93,161835
364	03.09.2022 07:00:00	81,408816
365	03.09.2022 08:00:00	39,73654
366	03.09.2022 09:00:00	62,669444
367	03.09.2022 10:00:00	21,520141
368	03.09.2022 11:00:00	45,306246
369	03.09.2022 12:00:00	88,572126
370	03.09.2022 13:00:00	95,436366
371	03.09.2022 14:00:00	88,196428
372	03.09.2022 15:00:00	104,868349
373	03.09.2022 16:00:00	65,405718
374	03.09.2022 17:00:00	17,427673
375	03.09.2022 18:00:00	2,935079
376	03.09.2022 19:00:00	-0,090013
377	03.09.2022 20:00:00	-0,095592
378	03.09.2022 21:00:00	-0,269705
379	03.09.2022 22:00:00	-0,288408
380	03.09.2022 23:00:00	-0,300765
381	04.09.2022 00:00:00	0
382	04.09.2022 01:00:00	0,046773
383	04.09.2022 02:00:00	0
384	04.09.2022 03:00:00	-0,384476
385	04.09.2022 04:00:00	-0,394262
386	04.09.2022 05:00:00	-0,404172
387	04.09.2022 06:00:00	0,340125
388	04.09.2022 07:00:00	-0,034982
389	04.09.2022 08:00:00	0
390	04.09.2022 09:00:00	0,004601
391	04.09.2022 10:00:00	33,278435
392	04.09.2022 11:00:00	32,711943
393	04.09.2022 12:00:00	5,162939
394	04.09.2022 13:00:00	27,666603
395	04.09.2022 14:00:00	12,435728
396	04.09.2022 15:00:00	5,048441
397	04.09.2022 16:00:00	2,612984
398	04.09.2022 17:00:00	0,113317
399	04.09.2022 18:00:00	0
400	04.09.2022 23:00:00	0,978079
401	05.09.2022 00:00:00	3,999935
402	05.09.2022 01:00:00	90,606848
403	05.09.2022 02:00:00	13,642817
404	05.09.2022 03:00:00	4,820843
405	05.09.2022 04:00:00	3,879873
406	05.09.2022 05:00:00	0
407	05.09.2022 19:00:00	-0,365717
408	05.09.2022 20:00:00	0,842408
409	05.09.2022 21:00:00	4,727628
410	05.09.2022 22:00:00	5
411	05.09.2022 23:00:00	3,793741
412	06.09.2022 00:00:00	4,786823
413	06.09.2022 01:00:00	5
414	06.09.2022 04:00:00	2,412106
415	06.09.2022 05:00:00	63,906207
416	06.09.2022 06:00:00	13,49959
417	06.09.2022 07:00:00	5
418	06.09.2022 09:00:00	5,017556
419	06.09.2022 10:00:00	5,001712
420	06.09.2022 11:00:00	5,291148
421	06.09.2022 12:00:00	2,889258
422	06.09.2022 13:00:00	1,762356
423	06.09.2022 14:00:00	0,301845
424	06.09.2022 15:00:00	0,23728
425	06.09.2022 16:00:00	0
426	06.09.2022 18:00:00	-0,021177
427	06.09.2022 19:00:00	-0,006163
428	06.09.2022 20:00:00	0,965103
429	06.09.2022 21:00:00	6,833642
430	06.09.2022 22:00:00	41,775513
431	06.09.2022 23:00:00	88,817997
432	07.09.2022 00:00:00	4,992362
433	07.09.2022 01:00:00	5,225609
434	07.09.2022 02:00:00	5,397012
435	07.09.2022 03:00:00	60,634769
436	07.09.2022 04:00:00	104,048417
437	07.09.2022 05:00:00	105,621476
438	07.09.2022 06:00:00	47,458161
439	07.09.2022 07:00:00	4,996268
440	07.09.2022 08:00:00	4,914676
441	07.09.2022 09:00:00	2,817488
442	07.09.2022 10:00:00	3,62528
443	07.09.2022 11:00:00	0
444	08.09.2022 00:00:00	-0,137319
445	08.09.2022 01:00:00	25,523135
446	08.09.2022 02:00:00	2,061164
447	08.09.2022 03:00:00	34,672933
448	08.09.2022 04:00:00	80,939813
449	08.09.2022 05:00:00	58,500738
450	08.09.2022 06:00:00	47,27174
451	08.09.2022 07:00:00	7,602512
452	08.09.2022 08:00:00	11,451181
453	08.09.2022 09:00:00	2,241993
454	08.09.2022 10:00:00	0
455	08.09.2022 11:00:00	3,632883
456	08.09.2022 12:00:00	3,086562
457	08.09.2022 13:00:00	5,027442
458	08.09.2022 14:00:00	5,371551
459	08.09.2022 15:00:00	1,837124
460	08.09.2022 16:00:00	0,923197
461	08.09.2022 17:00:00	-0,260761
462	08.09.2022 18:00:00	2,484043
463	08.09.2022 19:00:00	12,3248
464	08.09.2022 20:00:00	2,056566
465	08.09.2022 21:00:00	5,125704
466	08.09.2022 22:00:00	99,19993
467	08.09.2022 23:00:00	84,311113
468	09.09.2022 00:00:00	77,876844
469	09.09.2022 01:00:00	102,875225
470	09.09.2022 02:00:00	68,14175
471	09.09.2022 03:00:00	99,196844
472	09.09.2022 04:00:00	100
473	09.09.2022 06:00:00	99,98147
474	09.09.2022 07:00:00	100
475	09.09.2022 14:00:00	100,093648
476	09.09.2022 15:00:00	98,576112
477	09.09.2022 16:00:00	8,905396
478	09.09.2022 17:00:00	2,406438
479	09.09.2022 18:00:00	1,251324
480	09.09.2022 19:00:00	1,400085
481	09.09.2022 20:00:00	5,10551
482	09.09.2022 21:00:00	29,232356
483	09.09.2022 22:00:00	98,748304
484	09.09.2022 23:00:00	9,614437
485	10.09.2022 00:00:00	36,261074
486	10.09.2022 01:00:00	9,121375
487	10.09.2022 02:00:00	10,985184
488	10.09.2022 03:00:00	5,297025
489	10.09.2022 04:00:00	49,38467
490	10.09.2022 05:00:00	100
491	10.09.2022 13:00:00	97,661516
492	10.09.2022 14:00:00	90,029793
493	10.09.2022 15:00:00	91,983248
494	10.09.2022 16:00:00	100,774633
495	10.09.2022 17:00:00	7,802467
496	10.09.2022 18:00:00	4,406998
497	10.09.2022 19:00:00	0,179437
498	10.09.2022 20:00:00	0
499	10.09.2022 21:00:00	-0,0133
500	10.09.2022 22:00:00	33,876071
501	10.09.2022 23:00:00	47,711187
502	11.09.2022 00:00:00	-0,279752
503	11.09.2022 01:00:00	0
504	11.09.2022 02:00:00	0,000435
505	11.09.2022 03:00:00	-0,319644
506	11.09.2022 04:00:00	-0,374659
507	11.09.2022 05:00:00	-0,214508
508	11.09.2022 06:00:00	3,229483
509	11.09.2022 07:00:00	13,465151
510	11.09.2022 08:00:00	4,71241
511	11.09.2022 09:00:00	92,370845
512	11.09.2022 10:00:00	57,282478
513	11.09.2022 11:00:00	3,322975
514	11.09.2022 12:00:00	4,993781
515	11.09.2022 13:00:00	5,366917
516	11.09.2022 14:00:00	4,130056
517	11.09.2022 15:00:00	10,360059
518	11.09.2022 16:00:00	24,325666
519	11.09.2022 17:00:00	70,376916
520	11.09.2022 18:00:00	1,656567
521	11.09.2022 19:00:00	78,070556
522	11.09.2022 20:00:00	99,442665
523	11.09.2022 21:00:00	100,138836
524	11.09.2022 22:00:00	99,937041
525	11.09.2022 23:00:00	100
526	12.09.2022 00:00:00	99,999895
527	12.09.2022 01:00:00	101,575243
528	12.09.2022 02:00:00	99,916778
529	12.09.2022 03:00:00	102,032778
530	12.09.2022 04:00:00	96,730441
531	12.09.2022 05:00:00	87,903244
532	12.09.2022 06:00:00	72,827912
533	12.09.2022 07:00:00	31,021099
534	12.09.2022 08:00:00	15,760012
535	12.09.2022 09:00:00	94,181173
536	12.09.2022 10:00:00	67,50979
537	12.09.2022 11:00:00	10,60484
538	12.09.2022 12:00:00	86,604419
539	12.09.2022 13:00:00	59,021346
540	12.09.2022 14:00:00	2,569571
541	12.09.2022 15:00:00	1,37084
542	12.09.2022 16:00:00	52,397949
543	12.09.2022 17:00:00	4,94411
544	12.09.2022 18:00:00	2,168437
545	12.09.2022 19:00:00	4,689236
546	12.09.2022 20:00:00	4,976551
547	12.09.2022 21:00:00	4,91503
548	12.09.2022 22:00:00	6,923616
549	12.09.2022 23:00:00	3,802002
550	13.09.2022 00:00:00	1,184902
551	13.09.2022 01:00:00	1,886896
552	13.09.2022 02:00:00	-0,157698
553	13.09.2022 03:00:00	94,111724
554	13.09.2022 04:00:00	58,873358
555	13.09.2022 05:00:00	26,564795
556	13.09.2022 06:00:00	5,286358
557	13.09.2022 07:00:00	2,021449
558	13.09.2022 08:00:00	0
559	13.09.2022 16:00:00	-0,002073
560	13.09.2022 17:00:00	-0,236167
561	13.09.2022 18:00:00	99,178723
562	13.09.2022 19:00:00	100
563	13.09.2022 20:00:00	99,321576
564	13.09.2022 21:00:00	99,691332
565	13.09.2022 22:00:00	67,211344
566	13.09.2022 23:00:00	56,578935
567	14.09.2022 00:00:00	31,516672
568	14.09.2022 01:00:00	14,943835
569	14.09.2022 02:00:00	84,753005
570	14.09.2022 03:00:00	-6,068803
571	14.09.2022 04:00:00	90,320494
572	14.09.2022 05:00:00	0,783804
573	14.09.2022 06:00:00	-0,00079
574	14.09.2022 07:00:00	45,08169
575	14.09.2022 08:00:00	-0,026106
576	14.09.2022 09:00:00	1,00917
577	14.09.2022 10:00:00	6,00421
578	14.09.2022 11:00:00	71,40544
579	14.09.2022 12:00:00	104,014147
580	14.09.2022 13:00:00	84,287575
581	14.09.2022 14:00:00	71,90046
582	14.09.2022 15:00:00	41,590176
583	14.09.2022 16:00:00	77,48922
584	14.09.2022 17:00:00	100,098474
585	14.09.2022 18:00:00	99,579165
586	14.09.2022 19:00:00	100
587	14.09.2022 22:00:00	100,008295
588	14.09.2022 23:00:00	100
589	15.09.2022 00:00:00	100,235963
590	15.09.2022 01:00:00	73,355142
591	15.09.2022 02:00:00	64,29314
592	15.09.2022 03:00:00	95,491159
593	15.09.2022 04:00:00	68,902008
594	15.09.2022 05:00:00	38,373349
595	15.09.2022 06:00:00	100,172894
596	15.09.2022 07:00:00	101,409714
597	15.09.2022 08:00:00	99,867395
598	15.09.2022 09:00:00	83,894176
599	15.09.2022 10:00:00	68,789154
600	15.09.2022 11:00:00	106,61411
601	15.09.2022 12:00:00	62,510249
602	15.09.2022 13:00:00	3,547697
603	15.09.2022 14:00:00	1,315597
604	15.09.2022 15:00:00	98,44184
605	15.09.2022 16:00:00	101,618093
606	15.09.2022 17:00:00	70,741578
607	15.09.2022 18:00:00	8,1695
608	15.09.2022 19:00:00	47,814689
609	15.09.2022 20:00:00	76,882482
610	15.09.2022 21:00:00	46,544411
611	15.09.2022 22:00:00	77,457994
612	15.09.2022 23:00:00	63,628622
613	16.09.2022 00:00:00	
